Entity,Code,Year,Clothing,Computer software & accessories,Food & beverages,Housing,Televisions,New cars,"Tuition, school fees, childcare",Toys,Public transport,Household energy,College tuition & fees,Medical care
United States,USA,1914,15,,,,,,,,,,,
United States,USA,1915,15.6,,,,,,,,,,,
United States,USA,1916,17.9,,,,,,,,,,,
United States,USA,1917,22.2,,,,,,,,,,,
United States,USA,1918,31.8,,,,,,,,,,,
United States,USA,1919,38.5,,,,,,,,,,,
United States,USA,1920,42.65,,,,,,,,,,,
United States,USA,1921,31.1,,,,,,,,,,,
United States,USA,1922,26.825,,,,,,,,,,,
United States,USA,1923,27.1,,,,,,,,,,,
United States,USA,1924,26.75,,,,,,,,,,,
United States,USA,1925,26.3,,,,,,,,,,,
United States,USA,1926,25.8,,,,,,,,,,,
United States,USA,1927,25.25,,,,,,,,,,,
United States,USA,1928,24.95,,,,,,,,,,,
United States,USA,1929,24.650002,,,,,,,,,,,
United States,USA,1930,24,,,,,,,,,,,
United States,USA,1931,21.400002,,,,,,,,,,,
United States,USA,1932,19.05,,,,,,,,,,,
United States,USA,1933,19.2,,,,,,,,,,,
United States,USA,1934,20.7,,,,,,,,,,,
United States,USA,1935,20.800001,,,,,,,,9.1,,,10.2
United States,USA,1936,21.039999,,,,,,,,8.9800005,,,10.2
United States,USA,1937,22.175,,,,,,,,8.924999,,,10.3
United States,USA,1938,21.85,,,,,,,,9.05,,,10.3
United States,USA,1939,21.625,,,,,,,,9.1,,,10.375
United States,USA,1940,21.816666,,,,,,,,9.1,,,10.35
United States,USA,1941,22.816666,,,,,,,,9.1,,,10.424999
United States,USA,1942,26.699999,,,,,,,,9.175,,,10.75
United States,USA,1943,27.858332,,,,,,,,9.2,,,11.275
United States,USA,1944,29.808334,,,,,,,,9.2,,,11.575
United States,USA,1945,31.341667,,,,,,,,9.2,,,11.9
United States,USA,1946,34.391666,,,,,,,,9.5,,,12.575
United States,USA,1947,39.858334,,,,,,,,9.866667,,,13.541667
United States,USA,1948,42.508335,,,,,,,,11.175,,,14.375
United States,USA,1949,40.833332,,,,,,,,12.416667,,,14.841667
United States,USA,1950,40.283333,,,,160,,,,13.400001,,,15.116666
United States,USA,1951,43.925,,,,155.6,,,,14.816667,,,15.833333
United States,USA,1952,43.45,,,,137.025,,,,15.783333,,,16.699999
United States,USA,1953,43.175,,,,132.325,,,,16.833334,,,17.291666
United States,USA,1954,43.016666,,,,123.075,,,,17.966667,,,17.824999
United States,USA,1955,42.88333,,,,116.825,,,,18.458334,,,18.241667
United States,USA,1956,43.75,,,,117.95,,,,19.199999,,,18.908333
United States,USA,1957,44.5,,,,123.1,,,,19.933334,,,19.683332
United States,USA,1958,44.675,,,,124.825,,,,20.875,,,20.625
United States,USA,1959,45.024998,,,,126.575,,,,21.491667,,,21.491667
United States,USA,1960,45.7,,,,127.275,,,,22.225,,,22.25
United States,USA,1961,46.058334,,,,123.35,,,,23.208334,,,22.925001
United States,USA,1962,46.316666,,,,117.4,,,,23.966667,,,23.533333
United States,USA,1963,46.88333,,,,114.8,,,,24.258333,,,24.091667
United States,USA,1964,47.283337,,,,111.8,,,,24.708334,,,24.583334
